,Title,Content,Pictures
0,Meghan and Harry interview: Royal Family 'very much not racist' - William,The Duke of Cambridge says he has yet to speak to his brother Prince Harry following the Oprah interview.,https://ichef.bbci.co.uk/news/1024/branded_news/14110/production/_117529128_mediaitem117527381.jpg
1,Thor the lion has a vasectomy in Dutch zoo,"The big cat fathered five cubs last year, and the zoo now says it has enough of his DNA.",https://ichef.bbci.co.uk/news/1024/branded_news/14C20/production/_117542058_lionreuters.jpg
2,Pentagon rebukes Fox host Tucker Carlson for mocking female troops,"Fox News host Tucker Carlson had called female service members ""a mockery of the US military"".",https://ichef.bbci.co.uk/news/1024/branded_news/D8E4/production/_117542555_1000w_q95.jpg
3,Running from terror in Mozambique,A militant Islamist insurgency in north-east Mozambique has forced half a million people to flee for fear of beheadings and abductions.,https://ichef.bbci.co.uk/images/ic/400xn/p099fqyh.jpg
4,Twins peak with more born than ever before,"One in every 42 children is born a twin and much has changed over the past 30 years, a report finds.",https://ichef.bbci.co.uk/news/1024/branded_news/8F60/production/_117540763_gettyimages-92531090.jpg
5,Covid pandemic: Biden to order all US adults be eligible for vaccine,The president is set to announce the move during a speech on Thursday evening.,https://ichef.bbci.co.uk/news/1024/branded_news/14021/production/_117535918_gettyimages-1231650547.jpg
6,A bowling alley like you've never seen it before,A one-shot drone tour of a Minneapolis establishment has been celebrated for its production genius.,https://ichef.bbci.co.uk/images/ic/400xn/p099fxk9.jpg
7,De Blasio: NYC mayor calls on Cuomo to quit over harassment claims,"Andrew Cuomo has been accused of sexual misconduct by six women, allegations he denies.",https://ichef.bbci.co.uk/news/1024/branded_news/12A7E/production/_117541467_mediaitem117541466.jpg
8,Uber and Lyft to swap data on banned drivers,The two taxi apps have faced scrutiny for how they handle incidents of sexual assault and other safety issues.,https://ichef.bbci.co.uk/news/1024/branded_news/9032/production/_117541963_hi033138812.jpg
9,Oxford-AstraZeneca: Denmark suspends vaccine 'as a precaution',"The decision follows a death and reports of blood clots, but the health minister says no link is established.",https://ichef.bbci.co.uk/news/1024/branded_news/15DEE/production/_117528598_den.jpg
